Present Zip Code	Gender	Race	Previous College 1 Name
84107	Female	White	Salt Lake Community College
84070	Female	White	Salt Lake Community College
84095	Female	White	University Of Utah
84042	Female	White	Brigham Young University
84050	Female	White	Utah State University
84105	Male	White	University of Utah
84332	Male	White	Southern Utah University
84117	Male	White	Salt Lake Community College
84123	Male	White	Salt Lake Community College
84047	Female	White	University of Utah
84057	Female	White	University of California Riverside
84115	Male	White	Salt Lake Community College
84084	Female	White	University of Utah
84121	Female	"Asian, White"	Unversity of Arkansas
84096	Female	White	University of Utah
84121	Female	White	SNOW COLLEGE
84037	Female	White	Brigham Young University
84106	Female	White	University of Utah
93704	Female	White	Salt Lake Community College
84123	Female	White	Utah College of Massage Therapy
84084	Female	White	Weber State University
84087	Male	White	University of Utah
84109	Female	White	Salt Lake Community College
84105	Female	White	University of Utah
84010	Female	White	Utah State University
84010	Female	White	Snow College
84120	Female	"Asian, White, More Than One Race"	Hunter College
84106	Female	White	BYU - Hawaii
84067	Female	White	Community College of the Air Force
84123	Female	White	Salt Lake Community College
84109	Female	White	Salt Lake Community College
84049	Female	White	University of Utah
84025	Female	White	Utah State University
84325	Female	White	Utah Valley Community College
84123	Female	White	Salt Lake Community College
84790	Female	White	Dixie State College
84129	Female	White	Weber State University
19104	Female	White	Drexel University
84054	Female	White	Weber State University
96815	Female	White	Leeward Community College
84606	Female	White	Brigham Young University
84057	Female	White	Brigham Young University
84045	Male	White	Utah Valley University
92243	Female	Asian	Imperial Valley College
84098	Male	White	University of New Hampshire
84123	Female	White	University of Utah
84124	Female	White	University of Utah
84602	Female	Asian	Brigham Young University
84116	Female	More Than One Race	Salt Lake Community College
84047	Female	White	Salt Lake Community College
84098	Male	White	Salt Lake Community College
59715	Female	White	Montana State university
85374	Female	White	Arizona State University
84108	Female	White	Weber State University
84004	Female	White	RN - Salt Lake Community College
84095	Male	White	Salt Lake Community College
84092	Female	White	University of Utah
84120	Female	Asian	Washington State University
84790	Female	White	Dixie State College
84102	Female	Asian	City University of Hong Kong
84604	Female	White	Brigham Young University
84074	Female	White	Weber State University
84405	Female	White	Weber State University
84121	Female	White	Salt Lake Community College
84087	Female	White	Boise State University
84014	Male	White	Utah State University
94501	Female	Asian	Peralta Community College District
84088	Female	White	Salt Lake Community College
84604	Female	White	Brigham Young University
84403	Female	White	University of Utah
84084	Male	White	Salt Lake Community College
84108	Female	White	Salt Lake Community College
84663	Male	White	Utah Valley University
84070	Female	White	LDS Business College
84115	Female	White	Salt Lake Community College
84058	Female	White	Brigham Young University
84120	Female	White	Bethel College
84604	Female	White	Brigham Young University
84060	Male	Black or African American	Salt Lake Community College
84601	Female	Black or African American	Korle-bu Nurses' Training College
84321	Female	White	Weber State University
84120	Female	White	Salt Lake Community College
84045	Female	"Asian, White, More Than One Race"	University of Kansas
84015	Male	White	Salt Lake Community College
84093	Female	White	University of Utah
84123	Female	White	University of Utah
84047	Female	"Asian, White"	University of Utah
84121	Female	White	Salt Lake Community College
84105	Male	White	Salt Lake Community College
84092	Female	White	Dutchess County Community College
84060	Male	White	Hobart College
84044	Female	White	Salt Lake Community college
84106	Female	White	Salt Lake Community College
84117	Female	White	Salt Lake Community College
84109	Female	White	AmeriTech College
84070	Female	White	Salt Lake Community College
84105	Female	White	Weber State College
84660	Female	White	Brigham Young University
84107	Female	White	Boise State University
84108	Female	White	University of Utah
84081	Female	White	AS
84096	Female	White	Utah State University
84084	Female	White	Salt Lake Community College
83715	Male	White	Utah State University
84037	Male	White	Weber State University
84020	Female	White	University of Utah
84116	Male	White	Weber State University
84098	Female	White	University of Utah
84601	Female	Asian	Iowa Western Community College
84601	Female	White	Brigham Young University
84103	Female	White	Salt Lake Community College
84120	Female	White	SALT LAKE COMMUNITY COLLEGE
84106	Female	White	Salt Lak Community College
84040	Female	White	Utah State University
84604	Male	"Asian, White"	Brigham Young University
84095	Female	White	University of Utah
84093	Female	White	Salt Lake Community College
84092	Female	White	University of utah
84157	Female	White	Weber State University
83201	Female	Black or African American	University of Buea
84054	Male	White	University of Utah
84108	Female	White	University of Utah
84103	Female	White	University of Utah
84014	Male	White	Fort Lewis College
84124	Female	More Than One Race	Universidad Pedagogica Nacional
84108	Female	White	Brigham Young University
84102	Female	White	Western Wyoming Community College
3257	Female	White	Kearsarge Regional High School
84070	Female	White	Boise State University
84096	Male	White	Salt Lake Community College
84098	Female	White	University of Utah
84108	Female	White	University of Denver
84081	Female	White	Utah Valley University
84014	Female	White	Weber State University
55811	Female	White	The College of Saint Scholastica
84109	Female	White	UNIVERSITY OF UTAH
84058	Female	White	Brigham Young Univeristy
84095	Male	White	Brigham Young University - Provo
84604	Female	White	Brigham Young University
84123	Female	White	University Of Utah
6804	Female	White	Not applicable.
84098	Female	White	San Antonio College
84106	Female	White	Utah Valley University
84010	Female	White	Salt Lake Community College
84109	Male	White	Salt Lake Community College
84044	Male	White	Salt Lake Community College
84107	Female	White	Utah State University
84093	Male	White	Salt Lake Community College
84116	Female	White	Utah State University
84606	Female	White	Jamestown Community College
84047	Female	White	Weber State University
84093	Female	White	Salt Lake Community College
84117	Female	White	University of Utah
84106	Female	White	Dixie College
84109	Male	White	Salt Lake Community College
84093	Female	White	Salt Lake Community College
84095	Female	White	Salt lake community college
84116	Female	Asian	University of Utah
